"Site.name","Treatment","Tank","maxTemp","minTemp","meanTemp_run","meanTemp_hold","sdTemp_hold","Source","meanTemp_hold.adj","maxTemp.adj"
"Chicken","+3C",5,31.62,24.92,28.6008333333333,31.3866666666667,0.186709226326742,"Probe",31.3866666666667,31.62
"Chicken","+3C",7,31.75,24.65,28.5039814814815,31.555,0.126965001995997,"Probe",31.555,31.75
"Chicken","+3C",9,31.63,24.53,28.3421296296296,31.3494444444444,0.134578681362775,"Probe",31.3494444444444,31.63
"Chicken","+6C",10,34.56,24.96,29.4484259259259,34.2661111111111,0.162440840589724,"Probe",34.2661111111111,34.56
"Chicken","+6C",13,34.62,24.92,29.4564814814815,34.3466666666667,0.154485992205474,"Probe",34.3466666666667,34.62
"Chicken","+6C",3,34.49,25.09,29.6008333333333,34.0916666666667,0.348095376386203,"Probe",34.0916666666667,34.49
"Chicken","+9C",12,37.56,24.86,30.3235185185185,37.1088888888889,0.245060450617514,"Probe",37.1088888888889,37.56
"Chicken","+9C",16,37.65,24.65,30.3676851851852,37.2333333333333,0.217528011424253,"Probe",37.2333333333333,37.65
"Chicken","+9C",6,38.15,24.55,30.454537037037,37.7138888888889,0.246713343009393,"Probe",37.7138888888889,38.15
"Chicken","MMM",11,28.55,24.45,27.5149074074074,28.5205555555556,0.0457064011778245,"Probe",28.5205555555556,28.55
"Chicken","MMM",4,28.32,24.32,27.3522222222222,28.3088888888889,0.0315146306164715,"Probe",28.3088888888889,28.32
"Chicken","MMM",8,29.01,25.51,28.2115740740741,28.8461111111111,0.140932207201518,"Probe",28.8461111111111,29.01
"Davies","+3C",10,31.46,23.36,29.0697156398104,31.2188888888889,0.103453705344935,"Probe",31.2188888888889,31.46
"Davies","+3C",13,31.62,23.42,29.203570300158,31.3461111111111,0.150738920727934,"Probe",31.3461111111111,31.62
"Davies","+3C",3,31.69,23.39,29.1730963665087,31.5177777777778,0.0915756277226618,"Probe",31.5177777777778,31.69
"Davies","+6C",5,33.62,23.52,30.134691943128,32.7261111111111,0.655459571716809,"Probe",32.7261111111111,33.62
"Davies","+6C",7,33.95,23.55,30.2340442338073,33.3516666666667,0.520471960294226,"Probe",33.3516666666667,33.95
"Davies","+6C",9,33.53,23.53,29.9240758293839,32.8405555555556,0.525388626815275,"Probe",32.8405555555556,33.53
"Davies","+9C",12,37.36,23.86,30.7519431279621,36.8122222222222,0.404369369775841,"Probe",36.8122222222222,37.36
"Davies","+9C",16,37.75,23.85,30.8790679304897,37.2144444444444,0.284736911249984,"Probe",37.2144444444444,37.75
"Davies","+9C",6,38.15,23.75,30.9838072669826,37.6127777777778,0.342848820137819,"Probe",37.6127777777778,38.15
"Davies","MMM",11,28.95,23.55,28.1642969984202,28.4433333333333,0.399385002082287,"Probe",28.4433333333333,28.95
"Davies","MMM",4,28.92,23.42,28.0585466034755,28.3411111111111,0.386935949384563,"Probe",28.3411111111111,28.92
"Davies","MMM",8,28.91,23.61,28.3783254344392,28.4344444444444,0.314566691816296,"Probe",28.4344444444444,28.91
"Fitzroy Island","+3C",10,32.06,27.76,29.1963694267516,31.8266666666667,0.0968786605003144,"Probe",31.8266666666667,32.06
"Fitzroy Island","+3C",13,32.02,27.82,29.2536942675159,31.8116666666667,0.0938767764785911,"Probe",31.8116666666667,32.02
"Fitzroy Island","+3C",3,32.09,27.79,29.2129936305732,31.8461111111111,0.102026335130744,"Probe",31.8461111111111,32.09
"Fitzroy Island","+6C",5,34.52,27.72,29.6514649681529,33.9316666666667,0.406549041205397,"Probe",33.9316666666667,34.52
"Fitzroy Island","+6C",7,34.75,27.75,29.6965605095541,34.2338888888889,0.322726493830283,"Probe",34.2338888888889,34.75
"Fitzroy Island","+6C",9,34.43,27.63,29.5154777070064,33.8872222222222,0.321141566367023,"Probe",33.8872222222222,34.43
"Fitzroy Island","+9C",12,37.96,27.76,30.5877707006369,37.445,0.377950219890244,"Probe",37.445,37.96
"Fitzroy Island","+9C",16,38.25,27.65,30.6784713375796,37.6855555555556,0.366719143019875,"Probe",37.6855555555556,38.25
"Fitzroy Island","+9C",6,38.25,27.65,30.6311464968153,37.7316666666667,0.439714864441916,"Probe",37.7316666666667,38.25
"Fitzroy Island","MMM",11,28.95,27.65,28.3589808917197,28.7633333333333,0.0814669964364715,"Probe",28.7633333333333,28.95
"Fitzroy Island","MMM",4,28.92,27.52,28.2591719745223,28.6377777777778,0.0904090984912811,"Probe",28.6377777777778,28.92
"Fitzroy Island","MMM",8,29.31,27.91,28.6805732484076,29.2138888888889,0.0562952004750304,"Probe",29.2138888888889,29.31
"Fitzroy Reef","+3C",10,30.23,26.53,28.0156614246068,30.1205555555556,0.0767330293302198,"Probe",30.1205555555556,30.23
"Fitzroy Reef","+3C",14,30.07,26.47,27.8758279370953,29.8638888888889,0.0756084362359349,"Probe",29.8638888888889,30.07
"Fitzroy Reef","+3C",8,30.51,26.61,28.1847456059204,30.3316666666667,0.0840822954148769,"Probe",30.3316666666667,30.51
"Fitzroy Reef","+6C",11,33.14,26.54,28.8824606845513,32.9366666666667,0.100779088014356,"Probe",32.9366666666667,33.14
"Fitzroy Reef","+6C",2,33.45,26.65,29.0163274745606,33.2238888888889,0.106421680956137,"Probe",33.2238888888889,33.45
"Fitzroy Reef","+6C",4,33.35,26.45,28.9304810360777,33.1855555555556,0.0989454012426253,"Probe",33.1855555555556,33.35
"Fitzroy Reef","+9C",1,36.2,26.5,29.8780758556892,35.9205555555556,0.148999352187195,"Probe",35.9205555555556,36.2
"Fitzroy Reef","+9C",12,36.02,26.42,29.7748566142461,35.7994444444444,0.129328831344788,"Probe",35.7994444444444,36.02
"Fitzroy Reef","+9C",3,36.75,26.65,30.0697039777983,36.4666666666667,0.173848968035909,"Probe",36.4666666666667,36.75
"Fitzroy Reef","MMM",13,27.6,26.5,27.1346901017576,27.4783333333333,0.0520796553636194,"Probe",27.4783333333333,27.6
"Fitzroy Reef","MMM",7,27.75,26.65,27.2972710453284,27.7105555555556,0.0490094304255765,"Probe",27.7105555555556,27.75
"Fitzroy Reef","MMM",9,27.65,26.55,27.2474098057354,27.6077777777778,0.0538522244038845,"Probe",27.6077777777778,27.65
"Kelso","+3C",1,32,25,28.9036704730832,31.6805555555556,0.106805949566576,"Probe",31.6805555555556,32
"Kelso","+3C",10,31.86,25.26,28.9235399673736,31.675,0.0735948443664266,"Probe",31.675,31.86
"Kelso","+3C",13,31.72,25.02,28.8217944535073,31.5822222222222,0.0946357648832303,"Probe",31.5822222222222,31.72
"Kelso","+3C",3,31.99,25.39,29.2473409461664,31.8438888888889,0.125232248550326,"Probe",31.8438888888889,31.99
"Kelso","+6C",15,34.02,25.32,29.7166557911909,33.7022222222222,0.247705798543163,"Probe",33.7022222222222,34.02
"Kelso","+6C",5,34.42,24.82,29.4875367047308,34.085,0.25046883413213,"Probe",34.085,34.42
"Kelso","+6C",7,34.65,24.75,29.4135399673736,34.2083333333333,0.253880497995749,"Probe",34.2083333333333,34.65
"Kelso","+6C",9,34.43,24.63,29.2729037520392,33.9672222222222,0.251704925132219,"Probe",33.9672222222222,34.43
"Kelso","+9C",12,37.86,25.06,30.5510277324633,37.4572222222222,0.209929638533245,"Probe",37.4572222222222,37.86
"Kelso","+9C",16,38.15,24.75,30.5569331158238,37.5616666666667,0.235477643674279,"Probe",37.5616666666667,38.15
"Kelso","+9C",2,37.74,25.14,30.7236867862969,37.2738888888889,0.341564571202041,"Probe",37.2738888888889,37.74
"Kelso","+9C",6,38.25,24.75,30.5610114192496,37.8027777777778,0.211784267687019,"Probe",37.8027777777778,38.25
"Kelso","MMM",11,29.25,24.65,27.947308319739,28.9005555555556,0.105965748773353,"Probe",28.9005555555556,29.25
"Kelso","MMM",14,29.56,24.76,28.0764763458401,29,0.104960753505948,"Probe",29,29.56
"Kelso","MMM",4,29.12,24.42,27.7946329526917,28.7344444444444,0.117764191151499,"Probe",28.7344444444444,29.12
"Kelso","MMM",8,29.91,25.91,28.9144861337684,29.8161111111111,0.0885411805770421,"Probe",29.8161111111111,29.91
"Lady Musgrave","+3C",10,30.33,26.13,27.8864273789649,30.1222222222222,0.108548347004882,"Probe",30.1222222222222,30.33
"Lady Musgrave","+3C",14,30.17,26.07,27.7430383973289,29.9066666666667,0.132403648956451,"Probe",29.9066666666667,30.17
"Lady Musgrave","+3C",8,30.41,26.21,28.0124207011686,30.2727777777778,0.106246553966098,"Probe",30.2727777777778,30.41
"Lady Musgrave","+6C",11,33.24,26.54,28.6776460767947,32.9927777777778,0.158706558057483,"Probe",32.9927777777778,33.24
"Lady Musgrave","+6C",2,33.45,26.65,28.7917362270451,33.2294444444444,0.128026368714738,"Probe",33.2294444444444,33.45
"Lady Musgrave","+6C",4,33.35,26.55,28.7135225375626,33.0972222222222,0.124815195481027,"Probe",33.0972222222222,33.35
"Lady Musgrave","+9C",1,36.3,26.5,29.5105175292154,35.9311111111111,0.180405777536616,"Probe",35.9311111111111,36.3
"Lady Musgrave","+9C",12,36.12,26.52,29.4531385642738,35.8483333333333,0.151076213701459,"Probe",35.8483333333333,36.12
"Lady Musgrave","+9C",3,36.85,26.65,29.6935726210351,36.4144444444444,0.212887103141659,"Probe",36.4144444444444,36.85
"Lady Musgrave","MMM",13,27.6,26.6,27.0160267111853,27.2683333333333,0.139221699329686,"Probe",27.2683333333333,27.6
"Lady Musgrave","MMM",7,27.75,26.35,27.1484140233723,27.3727777777778,0.101293619092108,"Probe",27.3727777777778,27.75
"Lady Musgrave","MMM",9,27.75,26.15,27.1110183639399,27.3161111111111,0.0853280811931182,"Probe",27.3161111111111,27.75
"Martin","+3C",10,31.79,27.99,29.315353283458,31.5888888888889,0.132441149105602,"Probe",31.5888888888889,31.79
"Martin","+3C",14,31.92,28.12,29.3872485453034,31.6911111111111,0.197608294017939,"Probe",31.6911111111111,31.92
"Martin","+3C",8,31.76,27.96,29.2177722360765,31.5283333333333,0.118875081140671,"Probe",31.5283333333333,31.76
"Martin","+6C",11,35.8,30.3,32.2438071487947,35.2961111111111,0.41847874122719,"Probe",35.2961111111111,35.8
"Martin","+6C",2,34.8,28.2,30.4443059019119,34.1322222222222,0.586691848113709,"Probe",34.1322222222222,34.8
"Martin","+6C",4,34.35,28.45,30.5808395677473,33.4755555555556,0.628389999371207,"Probe",33.4755555555556,34.35
"Martin","+9C",1,38.26,28.16,31.5694763092269,37.8722222222222,0.18600641412487,"Probe",37.8722222222222,38.26
"Martin","+9C",12,37.26,27.06,30.4180216126351,36.5272222222222,0.270697537937296,"Probe",36.5272222222222,37.26
"Martin","+9C",3,39.12,28.12,31.5141812136326,37.8538888888889,0.410771707164186,"Probe",37.8538888888889,39.12
"Martin","MMM",13,31.5,28.3,29.3430590191189,30.9066666666667,0.384126375852659,"Probe",30.9066666666667,31.5
"Martin","MMM",7,30.39,28.19,28.9732917705736,30.2083333333333,0.187150045858409,"Probe",30.2083333333333,30.39
"Martin","MMM",9,30.92,28.22,29.1158437240233,30.6716666666667,0.21311077194107,"Probe",30.6716666666667,30.92
"No Name","+3C",10,31.89,25.69,29.054147774979,31.7061111111111,0.081989159174992,"Probe",31.7061111111111,31.89
"No Name","+3C",14,31.82,25.92,29.1092527287993,31.6594444444444,0.0918446722663429,"Probe",31.6594444444444,31.82
"No Name","+3C",8,31.66,25.46,28.904416456759,31.465,0.0756904900190874,"Probe",31.465,31.66
"No Name","+6C",11,35.6,28.2,31.9698572628044,35.4883333333333,0.105848526747071,"Probe",35.4883333333333,35.6
"No Name","+6C",2,34.2,26.5,30.1474391267842,34.0361111111111,0.128925030785355,"Probe",34.0361111111111,34.2
"No Name","+6C",4,34.05,27.35,30.3967674223342,33.6155555555556,0.342570340568357,"Probe",33.6155555555556,34.05
"No Name","+9C",1,38.16,26.16,31.2386733837112,37.73,0.243553763580426,"Probe",37.73,38.16
"No Name","+9C",12,37.06,26.16,30.7078589420655,36.5333333333333,0.27023680904143,"Probe",36.5333333333333,37.06
"No Name","+9C",3,37.82,27.12,31.6257934508816,37.5488888888889,0.117938005156144,"Probe",37.5488888888889,37.82
"No Name","MMM",13,30.9,25.9,28.7469353484467,30.7172222222222,0.0932531579021389,"Probe",30.7172222222222,30.9
"No Name","MMM",7,30.39,26.09,28.6522166246851,30.2772222222222,0.0909481745453678,"Probe",30.2772222222222,30.39
"No Name","MMM",9,31.12,25.62,28.7184047019311,30.9588888888889,0.0953610539062487,"Probe",30.9588888888889,31.12
"North Direction","+3C",10,31.79,27.89,29.2838809723386,31.5738888888889,0.0859803075341956,"Probe",31.5738888888889,31.79
"North Direction","+3C",14,31.82,27.92,29.3376865046102,31.5961111111111,0.0886672827298292,"Probe",31.5961111111111,31.82
"North Direction","+3C",8,31.86,27.76,29.1680469404862,31.5933333333333,0.106230486213315,"Probe",31.5933333333333,31.86
"North Direction","+6C",11,35.6,30,32.1056999161777,35.38,0.160794118683962,"Probe",35.38,35.6
"North Direction","+6C",2,34.2,27.9,30.190025146689,33.9766666666667,0.175957079581212,"Probe",33.9766666666667,34.2
"North Direction","+6C",4,34.05,28.15,30.4593042749371,33.7483333333333,0.312044080828155,"Probe",33.7483333333333,34.05
"North Direction","+9C",1,38.06,27.96,31.5366974015088,37.7705555555556,0.214943729734561,"Probe",37.7705555555556,38.06
"North Direction","+9C",12,37.06,26.96,30.4242078792959,36.7516666666667,0.224199382533699,"Probe",36.7516666666667,37.06
"North Direction","+9C",3,38.42,27.92,31.5012238055323,38.0383333333333,0.231698850972333,"Probe",38.0383333333333,38.42
"North Direction","MMM",13,30.6,28,28.8820620284996,30.3788888888889,0.134533702819365,"Probe",30.3788888888889,30.6
"North Direction","MMM",7,30.29,27.89,28.7497652975692,30.1005555555556,0.140429199331298,"Probe",30.1005555555556,30.29
"North Direction","MMM",9,30.82,27.82,28.860821458508,30.5927777777778,0.146783219306208,"Probe",30.5927777777778,30.82
"Pelorus East","+3C",1,32,25,28.9036704730832,31.6805555555556,0.106805949566576,"Probe",31.6805555555556,32
"Pelorus East","+3C",10,31.86,25.26,28.9235399673736,31.675,0.0735948443664266,"Probe",31.675,31.86
"Pelorus East","+3C",13,31.72,25.02,28.8217944535073,31.5822222222222,0.0946357648832303,"Probe",31.5822222222222,31.72
"Pelorus East","+3C",3,31.99,25.39,29.2473409461664,31.8438888888889,0.125232248550326,"Probe",31.8438888888889,31.99
"Pelorus East","+6C",15,34.02,25.32,29.7166557911909,33.7022222222222,0.247705798543163,"Probe",33.7022222222222,34.02
"Pelorus East","+6C",5,34.42,24.82,29.4875367047308,34.085,0.25046883413213,"Probe",34.085,34.42
"Pelorus East","+6C",7,34.65,24.75,29.4135399673736,34.2083333333333,0.253880497995749,"Probe",34.2083333333333,34.65
"Pelorus East","+6C",9,34.43,24.63,29.2729037520392,33.9672222222222,0.251704925132219,"Probe",33.9672222222222,34.43
"Pelorus East","+9C",12,37.86,25.06,30.5510277324633,37.4572222222222,0.209929638533245,"Probe",37.4572222222222,37.86
"Pelorus East","+9C",16,38.15,24.75,30.5569331158238,37.5616666666667,0.235477643674279,"Probe",37.5616666666667,38.15
"Pelorus East","+9C",2,37.74,25.14,30.7236867862969,37.2738888888889,0.341564571202041,"Probe",37.2738888888889,37.74
"Pelorus East","+9C",6,38.25,24.75,30.5610114192496,37.8027777777778,0.211784267687019,"Probe",37.8027777777778,38.25
"Pelorus East","MMM",11,29.25,24.65,27.947308319739,28.9005555555556,0.105965748773353,"Probe",28.9005555555556,29.25
"Pelorus East","MMM",14,29.56,24.76,28.0764763458401,29,0.104960753505948,"Probe",29,29.56
"Pelorus East","MMM",4,29.12,24.42,27.7946329526917,28.7344444444444,0.117764191151499,"Probe",28.7344444444444,29.12
"Pelorus East","MMM",8,29.91,25.91,28.9144861337684,29.8161111111111,0.0885411805770421,"Probe",29.8161111111111,29.91
"Heron","+3C",8,30.545,27.063,28.2996188714154,30.4123687150838,0.0795619207942756,"Hobbo",30.2273687150838,30.36
"Heron","+3C",10,30.545,27.087,28.2873432007401,30.3728491620112,0.0839074840769601,"Hobbo",30.1878491620112,30.36
"Heron","+3C",14,30.419,26.989,28.2044579093432,30.2323407821229,0.0812594061034395,"Hobbo",30.0473407821229,30.234
"Heron","+6C",2,33.652,26.769,29.1713913043478,33.4319441340782,0.0986113538526679,"Hobbo",33.2469441340782,33.467
"Heron","+6C",4,33.548,26.989,29.208308973173,33.3917597765363,0.0966883871810887,"Hobbo",33.2067597765363,33.363
"Heron","+6C",11,33.417,26.867,29.0910286771508,33.1751731843575,0.0930784866128588,"Hobbo",32.9901731843575,33.232
"Heron","+9C",1,36.471,26.94,30.0674449583719,36.1713240223464,0.143935987775776,"Hobbo",35.9863240223464,36.286
"Heron","+9C",3,36.633,27.014,30.2659241443108,36.3853854748603,0.144695348345339,"Hobbo",36.2003854748603,36.448
"Heron","+9C",12,36.362,26.94,30.036980573543,36.0706648044693,0.14466182743251,"Hobbo",35.8856648044693,36.177
"Heron","MMM",7,28.048,27.087,27.5286762257169,27.7643407821229,0.0281728425582468,"Hobbo",27.5793407821229,27.863
"Heron","MMM",9,27.702,26.94,27.3744976873265,27.6498547486034,0.0364226302864999,"Hobbo",27.4648547486034,27.517
"Heron","MMM",13,27.825,27.063,27.3831813135985,27.7521173184358,0.0428169960158921,"Hobbo",27.5671173184358,27.64
"Mackay","+3C",8,32.227,27.899,30.013046253469,32.0967653631285,0.0774764242956334,"Hobbo",31.9117653631285,32.042
"Mackay","+3C",10,32.175,27.949,30.005459759482,31.9954078212291,0.0938694176978535,"Hobbo",31.8104078212291,31.99
"Mackay","+3C",14,32.021,27.974,29.9807002775208,31.8341508379888,0.108185050769356,"Hobbo",31.6491508379888,31.836
"Mackay","+6C",2,33.966,28.617,31.250362627197,33.0535418994413,0.467171770468009,"Hobbo",32.8685418994413,33.781
"Mackay","+6C",4,34.071,28.543,31.1528427382054,33.117217877095,0.521125340779173,"Hobbo",32.932217877095,33.886
"Mackay","+6C",11,34.308,28.171,30.9734690101758,33.9451675977654,0.285848205298348,"Hobbo",33.7601675977654,34.123
"Mackay","+9C",1,39.375,28.147,32.8630333024977,38.7905251396648,0.474727353075115,"Hobbo",38.6055251396648,39.19
"Mackay","+9C",3,37.645,28.419,32.587717853839,36.796625698324,0.752785068337017,"Hobbo",36.611625698324,37.46
"Mackay","+9C",12,38.868,28.097,32.6338510638298,38.3361005586592,0.478240126970364,"Hobbo",38.1511005586592,38.683
"Mackay","MMM",7,31.714,28.048,29.6109250693802,30.6895530726257,0.452925113770838,"Hobbo",30.5045530726257,31.529
"Mackay","MMM",9,32.227,28.072,29.6805531914894,30.8723240223464,0.744620879354217,"Hobbo",30.6873240223464,32.042
"Mackay","MMM",13,31.893,28.147,29.7470971322849,30.722905027933,0.558985263345555,"Hobbo",30.537905027933,31.708
"Moore","+3C",3,32.227,28.444,29.8206234967623,32.0187597765363,0.0838366747665053,"Hobbo",31.8337597765363,32.042
"Moore","+3C",10,32.253,28.419,29.84732839963,32.0570502793296,0.080688976576313,"Hobbo",31.8720502793296,32.068
"Moore","+3C",13,32.201,28.369,29.8242062904718,32.0111843575419,0.0817345290381301,"Hobbo",31.8261843575419,32.016
"Moore","+6C",7,34.863,28.196,30.383579093432,34.2997039106145,0.328591780034087,"Hobbo",34.1147039106145,34.678
"Moore","+6C",9,34.81,28.245,30.4107021276596,34.2384078212291,0.330408865106147,"Hobbo",34.0534078212291,34.625
"Moore","+9C",12,38.143,28.345,31.6555892691952,37.7246368715084,0.202181659842515,"Hobbo",37.5396368715084,37.958
"Moore","MMM",4,29.14,28.196,28.6164061054579,28.8932681564246,0.176095497720324,"Hobbo",28.7082681564246,28.955
"Moore","MMM",8,29.59,28.444,29.0081202590194,29.3581508379888,0.146790436256114,"Hobbo",29.1731508379888,29.405
"Moore","MMM",11,29.19,28.171,28.6273672525439,28.9447709497207,0.179714499063966,"Hobbo",28.7597709497207,29.005
"St Crispin","+3C",8,32.33,28.122,29.39867160037,31.4476089385475,0.855889387692473,"Hobbo",31.2626089385475,32.145
"St Crispin","+3C",10,32.021,27.974,29.3039648473636,31.1962067039106,0.822028121364686,"Hobbo",31.0112067039106,31.836
"St Crispin","+3C",14,32.047,28.048,29.3346401480111,31.215374301676,0.822892350058818,"Hobbo",31.030374301676,31.862
"St Crispin","+6C",2,33.105,28.841,30.1770416281221,32.6266703910615,0.342606200651896,"Hobbo",32.4416703910615,32.92
"St Crispin","+6C",4,33.521,28.345,29.9464162812211,32.8732290502793,0.599832212536376,"Hobbo",32.6882290502793,33.336
"St Crispin","+6C",11,33.313,27.382,29.7005652173913,32.3264134078212,1.25594257859111,"Hobbo",32.1414134078212,33.128
"St Crispin","+9C",3,36.065,28.866,31.5149324699352,35.2954748603352,0.596401647320197,"Hobbo",35.1104748603352,35.88
"St Crispin","MMM",7,30.016,27.235,28.7852673450509,29.5653184357542,0.504852358266234,"Hobbo",29.3803184357542,29.831
"St Crispin","MMM",9,30.621,26.965,28.8649851988899,30.001687150838,0.725012942466605,"Hobbo",29.816687150838,30.436
"St Crispin","MMM",13,30.596,27.456,28.9911369102683,30.1397877094972,0.49020870316334,"Hobbo",29.9547877094972,30.411
"St Crispin","+9C",1,36.065,28.866,31.5149324699352,35.2954748603352,0.596401647320197,"Hobbo",35.1104748603352,35.88
"St Crispin","+9C",6,36.065,28.866,31.5149324699352,35.2954748603352,0.596401647320197,"Hobbo",35.1104748603352,35.88
"Moore","+6C",5,34.8365,28.2205,30.3971406105458,34.2690558659218,0.329500322570117,"Hobbo",34.0840558659218,34.6515
"Moore","+9C",6,38.143,28.345,31.6555892691952,37.7246368715084,0.202181659842515,"Hobbo",37.5396368715084,37.958
"Moore","+9C",16,38.143,28.345,31.6555892691952,37.7246368715084,0.202181659842515,"Hobbo",37.5396368715084,37.958
