Reef name;Collection date;Specie;Closest tide station;Time1;Time2;Time3;Time4;Level1;Level2;Level3;Level4
No Name;03/03/2022;A.spathulata;Carter reef;03:10:00;09:49:00;16:10:00;21:42:00;0.24;2.51;0.63;1.92
North Direction;01/03/2022;A.spathulata;North Direction;01:55:00;08:31:00;14:51:00;20:28:00;0.23;2.91;0.65;2.21
Martin;02/03/2022;A.spathulata;Lizard Island;02:35:00;09:08:00;15:26:00;21:07:00;0.19;2.89;0.58;2.25
Mackay;04/03/2022;A.spathulata;Sylvan Reef;04:15:00;10:42:00;17:03:00;22:52:00;0.56;2.9;0.75;2.42
St Crispin;05/03/2022;A.spathulata;Michaelmas Cay;04:51:00;11:13:00;17:35:00;23:32:00;0.77;2.66;0.86;2.32
Moore;07/03/2022;A.spathulata;Sudbury Cay;05:17:00;11:00:00;18:02:00;NA;1.33;1.8;1.13;NA
Fitzroy Island;06/03/2022;A.spathulata;Fitzroy Island;03:54:00;09:55:00;16:31:00;22:37:00;1.22;2.02;1.16;1.69
Kelso;09/03/2022;A.spathulata;Rib reef;06:38:00;13:41:00;18:45:00;22:07:00;0.87;0.63;0.7;0.62
Pelorus East;08/03/2022;A.spathulata;Lucinda (Offshore);00:47:00;05:30:00;10:53:00;18:14:00;2.35;2.1;2.2;1.77
Chicken;10/03/2022;A.spathulata;Dip reef;06:51:00;14:14:00;19:15:00;23:49:00;2.08;1.18;1.45;1.24
Davies;12/03/2022;A.spathulata;Shrimp reef;06:43:00;13:33:00;18:42:00;NA;2.24;0.95;1.54;NA
Heron;26/03/2022;A.spathulata;Heron Island;03:48:00;10:46:00;16:28:00;22:15:00;2.65;1.07;2;1.1
Fitzroy Reef;25/03/2022;A.spathulata;One Tree Island;02:03:00;08:50:00;14:20:00;20:14:00;2.53;1.05;1.78;0.93
Lady Musgrave;24/03/2022;A.spathulata;Lady Musgrave;00:39:00;07:20:00;12:47:00;18:43:00;2.27;0.99;1.66;0.8
