"logLik","IC","Lack.of.fit","Res.var","model","Site.name","Metric"
926.423119588551,-1490.8462391771,NA,0.0057881713583875,"W2.3","Chicken","MeanNDVI"
NA,-1459.16737246102,NA,NA,"LL.3","Chicken","MeanNDVI"
NA,-1420.0819481966,NA,NA,"W1.3","Chicken","MeanNDVI"
529.79256104291,-1049.58512208582,NA,0.0132665461998278,"Cubic","Chicken","MeanNDVI"
508.198619176598,-1008.3972383532,NA,0.0140774548074895,"Quad","Chicken","MeanNDVI"
309.906169255275,-613.81233851055,NA,0.024555793257295,"Lin","Chicken","MeanNDVI"
800.111845051534,-1280.22369010307,NA,0.00515234134021477,"W2.3","Davies","MeanNDVI"
NA,-1214.51110528291,NA,NA,"W1.3","Davies","MeanNDVI"
NA,-1211.90674219684,NA,NA,"LL.3","Davies","MeanNDVI"
524.952457572976,-1041.90491514595,NA,0.00968991687494578,"Quad","Davies","MeanNDVI"
525.87177095062,-1041.74354190124,NA,0.0096760649366401,"Cubic","Davies","MeanNDVI"
338.787607184905,-671.575214369809,NA,0.0183403211095084,"Lin","Davies","MeanNDVI"
1266.39015880103,-2170.78031760206,NA,0.00226493013689757,"W2.3","Fitzroy Island","MeanNDVI"
NA,-2118.32755911381,NA,NA,"LL.3","Fitzroy Island","MeanNDVI"
NA,-2061.70497859882,NA,NA,"W1.3","Fitzroy Island","MeanNDVI"
884.537000827486,-1759.07400165497,NA,0.00495927198387562,"Cubic","Fitzroy Island","MeanNDVI"
821.078558522811,-1634.15711704562,NA,0.00591421989726089,"Quad","Fitzroy Island","MeanNDVI"
358.624241159167,-711.248482318333,NA,0.0215318794994844,"Lin","Fitzroy Island","MeanNDVI"
NA,-2069.64539751005,NA,NA,"LL.3","Fitzroy Reef","MeanNDVI"
1213.81923811659,-2059.63847623318,0.836618245626703,0.00278632975421604,"W2.3","Fitzroy Reef","MeanNDVI"
NA,-2025.59577893845,NA,NA,"W1.3","Fitzroy Reef","MeanNDVI"
757.89373813745,-1505.7874762749,NA,0.00733943756860583,"Cubic","Fitzroy Reef","MeanNDVI"
709.370903216802,-1410.7418064336,NA,0.00837445870372466,"Quad","Fitzroy Reef","MeanNDVI"
527.189416868208,-1048.37883373642,NA,0.0137950064072503,"Lin","Fitzroy Reef","MeanNDVI"
NA,-2031.6343270006,NA,NA,"W1.3","Heron","MeanNDVI"
NA,-2027.84358511521,NA,NA,"LL.3","Heron","MeanNDVI"
1183.988185844,-2005.976371688,NA,0.00288773365107666,"W2.3","Heron","MeanNDVI"
664.952878880432,-1319.90575776086,NA,0.0092371037343938,"Cubic","Heron","MeanNDVI"
636.113273081104,-1264.22654616221,NA,0.00999576967800938,"Quad","Heron","MeanNDVI"
526.93706070818,-1047.87412141636,NA,0.0135295523947271,"Lin","Heron","MeanNDVI"
776.613466747404,-1287.22693349481,0.108577603155774,0.00409961600563583,"W2.3","Kelso","MeanNDVI"
NA,-1270.9475882513,NA,NA,"LL.3","Kelso","MeanNDVI"
NA,-1242.00120678361,NA,NA,"W1.3","Kelso","MeanNDVI"
512.559303140333,-1015.11860628067,NA,0.00843424918930531,"Cubic","Kelso","MeanNDVI"
487.783887937604,-967.567775875209,NA,0.00924806949551777,"Quad","Kelso","MeanNDVI"
257.139439440409,-508.278878880819,NA,0.0221495958056848,"Lin","Kelso","MeanNDVI"
1318.82885284644,-2287.65770569288,NA,0.00176442031344921,"W2.3","Lady Musgrave","MeanNDVI"
NA,-2152.53564793341,NA,NA,"LL.3","Lady Musgrave","MeanNDVI"
NA,-2054.47641399484,NA,NA,"W1.3","Lady Musgrave","MeanNDVI"
662.56768382216,-1315.13536764432,NA,0.00877328923494031,"Cubic","Lady Musgrave","MeanNDVI"
611.849504477289,-1215.69900895458,NA,0.0101351506331322,"Quad","Lady Musgrave","MeanNDVI"
468.229289183649,-930.458578367299,NA,0.0152910769017363,"Lin","Lady Musgrave","MeanNDVI"
1355.86515633019,-2349.73031266037,0.795234220056545,0.00180627765611872,"W2.3","Mackay","MeanNDVI"
NA,-2326.24117508197,NA,NA,"LL.3","Mackay","MeanNDVI"
NA,-2238.56538013777,NA,NA,"W1.3","Mackay","MeanNDVI"
834.047411592367,-1658.09482318473,NA,0.00580460107633311,"Cubic","Mackay","MeanNDVI"
822.748600723774,-1637.49720144755,NA,0.00598131715770777,"Quad","Mackay","MeanNDVI"
569.419981773782,-1132.83996354756,NA,0.0120725910894721,"Lin","Mackay","MeanNDVI"
1044.97811432839,-1733.95622865677,0.00023673089192684,0.00321574933418636,"W2.3","Martin","MeanNDVI"
NA,-1630.22900443378,NA,NA,"LL.3","Martin","MeanNDVI"
NA,-1539.08728622297,NA,NA,"W1.3","Martin","MeanNDVI"
640.29754645718,-1270.59509291436,NA,0.0081897113343595,"Cubic","Martin","MeanNDVI"
587.995597155255,-1167.99119431051,NA,0.00960713934257815,"Quad","Martin","MeanNDVI"
415.58523216156,-825.17046432312,NA,0.0163180285875821,"Lin","Martin","MeanNDVI"
773.218435478265,-1280.43687095653,0.999999975109776,0.00417328115812777,"W2.3","Moore","MeanNDVI"
NA,-1272.31312331358,NA,NA,"LL.3","Moore","MeanNDVI"
NA,-1267.87677394312,NA,NA,"W1.3","Moore","MeanNDVI"
497.55868689253,-985.11737378506,NA,0.00896018448082771,"Cubic","Moore","MeanNDVI"
455.315060197435,-902.630120394871,NA,0.0104949897368523,"Quad","Moore","MeanNDVI"
219.689270118868,-433.378540237735,NA,0.0255724847072528,"Lin","Moore","MeanNDVI"
892.557629090192,-1465.11525818038,NA,0.00471512434467745,"W2.3","No Name","MeanNDVI"
NA,-1381.90495473343,NA,NA,"LL.3","No Name","MeanNDVI"
NA,-1341.11920491363,NA,NA,"W1.3","No Name","MeanNDVI"
496.862876945872,-983.725753891743,NA,0.0123508576323492,"Cubic","No Name","MeanNDVI"
490.183815222964,-972.367630445929,NA,0.0125930845157857,"Quad","No Name","MeanNDVI"
277.229032379725,-548.45806475945,NA,0.0245629303841393,"Lin","No Name","MeanNDVI"
532.892670174024,-751.785340348049,NA,0.0135825914470907,"W2.3","North Direction","MeanNDVI"
NA,-750.0218837132,NA,NA,"LL.3","North Direction","MeanNDVI"
NA,-718.677240175968,NA,NA,"W1.3","North Direction","MeanNDVI"
169.63281486984,-331.26562973968,NA,0.0336158179468076,"Quad","North Direction","MeanNDVI"
169.75536305179,-329.510726103581,NA,0.0336580424461037,"Cubic","North Direction","MeanNDVI"
89.3716291992851,-172.74325839857,NA,0.043738474091712,"Lin","North Direction","MeanNDVI"
756.675366958812,-1241.35073391762,NA,0.00471372327730018,"W2.3","Pelorus East","MeanNDVI"
NA,-1215.51591011945,NA,NA,"LL.3","Pelorus East","MeanNDVI"
NA,-1178.47352024218,NA,NA,"W1.3","Pelorus East","MeanNDVI"
537.980389402501,-1065.960778805,NA,0.00801336183938759,"Cubic","Pelorus East","MeanNDVI"
497.069126894171,-986.138253788342,NA,0.00930961072381313,"Quad","Pelorus East","MeanNDVI"
224.225724951852,-442.451449903705,NA,0.025574334459483,"Lin","Pelorus East","MeanNDVI"
576.642004284972,-1143.28400856994,NA,0.0107218393830227,"Cubic","St Crispin","MeanNDVI"
566.495102540292,-1124.99020508058,NA,0.0110317118419392,"Quad","St Crispin","MeanNDVI"
NA,-1124.32709271491,NA,NA,"W1.3","St Crispin","MeanNDVI"
730.829042152072,-1123.65808430414,1,0.00898969739586597,"W2.3","St Crispin","MeanNDVI"
NA,-1122.23965490132,NA,NA,"LL.3","St Crispin","MeanNDVI"
317.30312712529,-628.606254250579,NA,0.0229991395211419,"Lin","St Crispin","MeanNDVI"
